award number,published_year,investigators
650S579,1965,
9711683,1997,"Waylen,Peter"
66E5248,1966,
0214481,2002,"Gray,Leslie"
0903073,2009,"Kinder,Kimberley|Watts,Michael"
0136284,2002,"Latz,Gil"
0196548,2001,"Ye,Hengchun"
8709312,1987,"Smith,Tony"
0402461,2004,"Rocheleau,Dianne"
9496170,1993,"Michener,William"
0078880,2000,"Withers,Suzanne"
0137029,2002,"Giuliano,Genevieve"
8412406,1984,"Robinson,Vincent"
8020386,1981,"Zemanian,Armen"
9508294,1995,"Denevan,William"
9911232,2000,"Domosh,Mona"
9975699,1999,"Monmonier,Mark"
8420250,1985,"Hall,Peter|Markusen,Ann"
9401940,1994,"Johansen,Harley"
0318174,2003,"Echeverri-Carroll,Elsie"
7205266,1972,"Nystrom,J."
9807195,1998,"Gomez,Basil"
660A253,1966,
7504516,1975,"DATA NOT AVAILABLE,"
8308119,1983,"Brueckner,Jan"
9900933,1999,"Elliott-Fisk,Deborah"
8604552,1986,"Sack,Robert"
0819416,2008,"Carleton,Andrew"
8722443,1988,"Wolman,M."
7727698,1979,"Graf,William"
0849541,2009,"Jeffrey,Craig|Mitchell,Katharyne"
9802341,1998,"Momsen,Janet"
0752378,2008,"Goulias,Kostas"
9730642,1998,"Grant,Richard"
8714013,1987,"Densham,Paul|Rushton,Gerard"
9628720,1996,"Bauer,Bernard|Sherman,Douglas"
0825414,2008,"Coles,Britt|Stepp,John"
9404722,1994,"Hart,Gillian"
7923686,1980,"Church,Richard|Bell,Thomas"
0234018,2002,"Fagre,Daniel|Walsh,Stephen|Butler,David|Malanson,George"
8921953,1990,"Congalton,Russell|Turner,Matthew|Watts,Michael"
8506397,1985,"Smith,Tony"
9703502,1997,"Leigh,David"
8212424,1983,"Chin,Roland|Weinman,James"
8508459,1985,"Abrahams,Athol"
0852039,2009,"Lee,Jaehoon|Harden,Carol"
9730475,1998,"Arnfield,A"
0432327,2004,"Painter,Thomas"
8421263,1985,"Sato,Tokiko|Armstrong,R. Warwick"
8006561,1980,"Place,Carol"
9100203,1991,"Duckworth,W. Donald"
0919790,2009,"Rabie,Kareem|Blim,Michael"
8112007,1981,"Brown,Marilyn"
0240962,2003,"Zimmerer,Karl"
8208264,1982,"Boyce,David"
0526582,2005,"Young,Kenneth"
9402225,1994,"None,None"
70W5351,1970,
8820423,1989,"Watkins,John|Leinbach,Thomas"
9420612,1995,"Li,Changsheng|Keller,Michael|Schimel,David|Gerow,Ken|Reiners,William"
7418406,1975,
0002471,2000,"Sherman,Douglas"
9410957,1994,"Khandaker,Nazrul|Marcus,William"
9022747,1991,"Knudsen,Daniel"
0743498,2008,"Schoennagel,Tania|Veblen,Thomas"
7809920,1979,"Pred,Allan"
9808989,1998,"Allen Jr,Thomas|Cairns,David|Kupfer,John"
8642431,1986,"Martin,Geoffrey"
8910972,1989,"Browder,John"
8204376,1982,"Scott,Allen"
0221949,2002,"Johnson,David|Hunt,Andrew|Griffith,Daniel"
9707914,1997,"Johnson,Valen|West,Mike|Higdon,David|Wolpert,Robert"
9701451,1997,"Sheppard,Eric"
8852459,1989,"Young,Cyrus"
7801386,1978,"Olsen,R.|Allaman,Peter"
0623059,2006,"Pickles,John"
0099014,2001,"Carleton,Andrew"
0000893,2000,"Kirchner,James|Dietrich,William"
0715070,2007,"Baker,William"
0118012,2001,"Johnson,William"
0802593,2008,"Lam,Nina"
8014257,1980,"Fujita,Masahisa"
7922858,1979,"Kelly,William"
0703463,2007,"Skop,Emily"
9312528,1993,"Roseman,Curtis"
9907026,1999,"Turner,B."
0821428,2007,"Wasklewicz,Thad"
